UF,PIB,Pop_est_2009,classe
MINAS GERAIS,7423138,526706,2
SANTA CATARINA,126102.9140625,7675,2
PARAÍBA,14183.72070312,3544,1
SÃO PAULO,1053969.625,68718,2
BAHIA,54673.390625,11798,1
RONDÔNIA,145329.3125,12708,2
RIO GRANDE DO SUL,1165896.5,115745,2
PARANÁ,427174.375,33109,2
MATO GROSSO DO SUL,349331.9375,20623,2
CEARÁ,70465.125,19444,1
PIAUÍ,11626.99414062,3315,1
BAHIA,43519.43359375,13922,1
PARÁ,47205.38671875,18777,1
PARANÁ,38368.25390625,4589,1
MINAS GERAIS,95530.296875,11212,1
GOIÁS,125436.234375,14115,1
MINAS GERAIS,202915.625,20070,2
RIO GRANDE DO NORTE,54461.640625,9712,1
MINAS GERAIS,78314.7890625,19771,1
RONDÔNIA,212184,17822,2
PARAÍBA,78050.453125,19359,1
RIO GRANDE DO SUL,92426.96875,8196,2
PARANÁ,54275.8828125,4947,2
MINAS GERAIS,61481.84765625,6261,2
SÃO PAULO,246487.109375,18146,2
RIO GRANDE DO NORTE,25795.89648438,5562,1
CEARÁ,104356.4375,28077,1
GOIÁS,29721.85351562,2941,2
SANTA CATARINA,56920.30078125,2641,2
MARANHÃO,82837.78125,24520,1
PIAUÍ,19456.99414062,5270,1
RIO DE JANEIRO,150088.640625,8839,2
PARANÁ,327709.34375,29664,2
BAHIA,116221.203125,27259,1
MINAS GERAIS,54027.89453125,10902,1
SÃO PAULO,133914.796875,11169,2
RIO DE JANEIRO,206854.375,15313,2
MINAS GERAIS,76796.5234375,8750,1
SANTA CATARINA,48248.37109375,3862,2
SÃO PAULO,147201.09375,15382,1
BAHIA,307409.65625,58387,1
PIAUÍ,14949.34375,4093,1
RIO GRANDE DO SUL,153886.890625,9611,2
MARANHÃO,46917.0703125,17326,1
PIAUÍ,35422.94140625,13232,1
ACRE,61478.73046875,7505,1
GOIÁS,455039.1875,24021,2
RIO GRANDE DO SUL,176851.203125,11998,2
SERGIPE,49973.58984375,10555,1
SÃO PAULO,37064.9296875,3947,1
TOCANTINS,32751.5625,2377,2
AMAZONAS,216235.546875,26847,1
SERGIPE,77486.8359375,14027,1
PARÁ,160230.15625,52797,1
RIO GRANDE DO SUL,408302.03125,28236,2
SÃO PAULO,40781.84375,5043,1
PARÁ,109358.3515625,26570,1
PARAÍBA,135686.15625,23788,1
MINAS GERAIS,27054.96875,3532,1
SERGIPE,67334.578125,12140,1
PARANÁ,41468.546875,4225,2
MARANHÃO,44660.359375,11121,1
RIO GRANDE DO SUL,76172.8046875,6767,2
RIO GRANDE DO SUL,28712.453125,2470,2
RIO DE JANEIRO,75228.75,7997,1
MINAS GERAIS,90727.484375,8096,2
PERNAMBUCO,151340.671875,39672,1
SÃO PAULO,31603.69140625,1733,2
PERNAMBUCO,112841.03125,18999,1
MINAS GERAIS,26762.91796875,3303,1
PERNAMBUCO,234438.703125,41745,1
RIO GRANDE DO SUL,26267.9765625,2387,2
MINAS GERAIS,20436.48242188,3302,1
SANTA CATARINA,47381.171875,2882,2
ALAGOAS,70679.9765625,25309,1
PARÁ,253144.65625,63941,1
MINAS GERAIS,77487.75,7322,2
PIAUÍ,133921.484375,37520,1
MATO GROSSO DO SUL,821485.875,75941,2
PARÁ,30205.0859375,7301,1
MARANHÃO,37810.55078125,11170,1
TOCANTINS,16670.63671875,2959,1
RIO GRANDE DO SUL,5378394.5,25374,5
MINAS GERAIS,17252.89257812,3553,1
GOIÁS,189625.765625,31257,1
MARANHÃO,56887.16796875,12684,1
TOCANTINS,39419.8515625,8445,1
ALAGOAS,62115.51171875,15899,1
CEARÁ,120630.0703125,32016,1
PARANÁ,249832,19517,2
BAHIA,126903.78125,25811,1
SÃO PAULO,565069.375,7598,4
PARÁ,63053.15234375,13593,1
CEARÁ,64836.63671875,19132,1
PARAÍBA,9674.91992188,2305,1
CEARÁ,530908.0625,114441,1
PARANÁ,50780.390625,4348,2
SANTA CATARINA,51858.28125,5690,1
TOCANTINS,39278.328125,4971,1
MINAS GERAIS,83837.4140625,6589,2
MINAS GERAIS,275498.9375,18844,2
MARANHÃO,27159.71875,4144,1
MINAS GERAIS,16518.8828125,2137,1
SANTA CATARINA,35983.98046875,2869,2
BAHIA,104637.359375,24544,1
PARANÁ,252335.984375,25164,2
RIO DE JANEIRO,175739344,6186710,3
PIAUÍ,152384.3125,36293,1
SÃO PAULO,1123404.75,46641,3
RIO GRANDE DO SUL,782521.625,38794,2
MINAS GERAIS,36794.828125,7315,1
PIAUÍ,14465.60644531,5119,1
BAHIA,183536.203125,47470,1
RIO GRANDE DO SUL,42935.8203125,2522,2
GOIÁS,34949.49609375,4195,1
MARANHÃO,55433.60546875,19817,1
PIAUÍ,17828.19921875,6796,1
PARANÁ,176644.953125,23607,1
MINAS GERAIS,150141.8125,24606,1
MATO GROSSO,139865.96875,12113,2
MINAS GERAIS,26321.71875,4197,1
AMAZONAS,1103350.125,66991,2
PERNAMBUCO,1839665.75,319373,1
ESPIRITO SANTO,2314608.25,132664,2
RIO GRANDE DO SUL,41028.81640625,2542,2
RIO GRANDE DO SUL,41907.8359375,4521,1
RIO GRANDE DO NORTE,93939.8125,21448,1
PARANÁ,168663.46875,9465,2
SERGIPE,21683.1015625,4025,1
SÃO PAULO,91414.5625,10966,1
MINAS GERAIS,130424.5234375,6600,2
PARANÁ,131726.28125,4405,3
PIAUÍ,16121.22167969,4615,1
RIO GRANDE DO SUL,651200.6875,33668,2
SANTA CATARINA,89889.0078125,6945,2
RIO GRANDE DO SUL,23923.03320312,2549,1
PIAUÍ,12196.9140625,2714,1
PARAÍBA,22847.53320312,5800,1
MATO GROSSO,343376,4641,4
CEARÁ,164077.84375,53952,1
MINAS GERAIS,30052.00976562,5873,1
RIO GRANDE DO SUL,69031.109375,10170,1
MINAS GERAIS,244568.890625,18989,2
ESPIRITO SANTO,88457.796875,8205,2
MATO GROSSO,1809788.125,33556,4
PIAUÍ,7714.59814453,2153,1
ALAGOAS,67490.1875,18848,1
PARANÁ,80220.6484375,6983,2
BAHIA,55162.2109375,13816,1
RONDÔNIA,1401586.375,111010,2
CEARÁ,30235.43359375,11118,1
GOIÁS,4601373,510770,1
SÃO PAULO,5752286,281583,2
SANTA CATARINA,281775.84375,33408,1
BAHIA,147744.5625,31113,1
MINAS GERAIS,56588.3671875,6295,1
SÃO PAULO,400702.0625,34447,2
TOCANTINS,117627.1328125,11099,2
ESPIRITO SANTO,94435.375,9503,2
RIO GRANDE DO SUL,417949.59375,23893,2
RIO GRANDE DO SUL,92533.3671875,3771,3
BAHIA,79305.59375,26874,1
MATO GROSSO DO SUL,355782.875,34986,2
BAHIA,32292.515625,11136,1
BAHIA,30241.3203125,12995,1
TOCANTINS,49289.7421875,6623,1
PARANÁ,60915.0390625,3354,2
AMAPÁ,32050.08203125,3650,1
SÃO PAULO,4522812.5,191886,3
PARANÁ,100907.65625,14637,1
MATO GROSSO,231758.859375,20944,2
BAHIA,58806.34765625,11632,1
BAHIA,18747.91796875,3886,1
MINAS GERAIS,64878.32421875,9465,1
SÃO PAULO,116283.3046875,9375,2
PARANÁ,301245.90625,32806,1
SÃO PAULO,112249.3671875,12591,1
BAHIA,34771.55859375,8871,1
BAHIA,41465.12109375,12342,1
BAHIA,981035.875,27513,3
MINAS GERAIS,258099.421875,30638,1
SÃO PAULO,926208.5,64098,2
MINAS GERAIS,77429.0859375,11927,1
MINAS GERAIS,181915.40625,15253,2
BAHIA,57520.3515625,14280,1
PARANÁ,42996.23828125,4006,2
SÃO PAULO,242703.625,17337,2
CEARÁ,76112.5234375,19252,1
MATO GROSSO,234282.15625,9502,3
PARÁ,144473.65625,29087,1
MINAS GERAIS,112729.171875,31319,1
PARAÍBA,30622.7109375,7535,1
PIAUÍ,17748.00585938,4941,1
RIO GRANDE DO NORTE,81584.1875,13334,1
SÃO PAULO,1022254.625,79957,2
MINAS GERAIS,1348007.875,84264,2
BAHIA,88530.46875,23166,1
SÃO PAULO,224719.375,3387,4
SÃO PAULO,162512.703125,14969,2
ALAGOAS,186967.0625,41935,1
MINAS GERAIS,69510.375,10645,1
SANTA CATARINA,185846.4375,14000,2
MINAS GERAIS,47836.796875,3897,2
RIO GRANDE DO SUL,343135.90625,18631,2
RIO GRANDE DO SUL,1838203.875,260740,1
ALAGOAS,53345.25390625,18397,1
PARANÁ,125971.8359375,4258,3
SÃO PAULO,1306196.375,71470,2
TOCANTINS,69654.3359375,4618,2
TOCANTINS,22405.10351562,3839,1
BAHIA,136881.390625,22553,1
MINAS GERAIS,33600.8828125,2580,2
SÃO PAULO,98269.296875,9445,2
RONDÔNIA,1187763.5,69866,2
MARANHÃO,34294.28515625,7854,1
BAHIA,688526.25,32225,2
AMAPÁ,32157.5078125,3658,1
SERGIPE,29790.82617188,6554,1
RIO GRANDE DO SUL,42512.2578125,3989,2
SERGIPE,83699.1015625,16745,1
MINAS GERAIS,53477.828125,6419,1
TOCANTINS,36173.8828125,4964,1
SÃO PAULO,52908.13671875,6142,1
SÃO PAULO,2317107.75,130348,2
PERNAMBUCO,82538.9375,19936,1
MINAS GERAIS,15636.30761719,2130,1
BAHIA,36750.9375,11157,1
SÃO PAULO,429408.71875,26974,2
PARAÍBA,23582.4609375,5899,1
SÃO PAULO,31833.52148438,2029,2
GOIÁS,1256673.375,14373,4
MINAS GERAIS,19219.6640625,2311,1
MARANHÃO,33562.359375,10527,1
SÃO PAULO,314125.59375,21247,2
ESPIRITO SANTO,102197.3515625,10676,1
RIO GRANDE DO SUL,121017.078125,4581,3
RIO GRANDE DO SUL,387144.1875,22818,2
BAHIA,132642.828125,24169,1
SÃO PAULO,27770.9140625,2443,2
MARANHÃO,132661.1875,36787,1
MINAS GERAIS,37022.59375,3353,2
MATO GROSSO DO SUL,568997.6875,41261,2
PARAÍBA,19880.31054688,4750,1
MINAS GERAIS,18610.78320312,3239,1
SÃO PAULO,3115531,189573,2
PIAUÍ,27500.9921875,5753,1
TOCANTINS,37919.55078125,3543,2
PIAUÍ,25114.17578125,8043,1
CEARÁ,1067819,54362,2
MATO GROSSO,218158.0625,15315,2
MINAS GERAIS,94075.4296875,16513,1
CEARÁ,464257.5,59689,1
MINAS GERAIS,31904.875,7023,1
MINAS GERAIS,44194.08984375,8047,1
CEARÁ,129953.6171875,24125,1
PARANÁ,7284400.5,335511,2
MINAS GERAIS,16782.6171875,3269,1
BAHIA,1228962,99553,2
PIAUÍ,17572.79296875,6672,1
ACRE,258505.0625,33883,1
SANTA CATARINA,1326661.625,31910,3
PARÁ,373894.5,67208,1
PARANÁ,1866142.625,247268,1
AMAZONAS,146993.34375,18597,1
SANTA CATARINA,34406.22265625,2324,2
RIO GRANDE DO SUL,246858.09375,8576,3
MARANHÃO,26266.54492188,5953,1
PARANÁ,147587.84375,15728,1
PARANÁ,46741.29296875,3331,2
SÃO PAULO,170254.15625,14829,2
MINAS GERAIS,35063.94140625,6649,1
RONDÔNIA,160794.796875,11875,2
GOIÁS,790987.125,67588,2
MINAS GERAIS,25136.25195312,4394,1
PARAÍBA,29104.87109375,7817,1
MINAS GERAIS,27009.6640625,3852,1
GOIÁS,51386.2734375,4456,2
ESPIRITO SANTO,330817.40625,23472,2
RIO GRANDE DO SUL,111788.109375,6253,2
MATO GROSSO,1152314.875,28147,3
RIO GRANDE DO NORTE,34752.63671875,6629,1
MINAS GERAIS,1344211.5,75776,2
RIO GRANDE DO SUL,40239.54296875,2759,2
ACRE,103294.7421875,14774,1
BAHIA,49992.703125,14138,1
SÃO PAULO,96547.890625,8657,2
PARÁ,106017.2265625,36748,1
RIO GRANDE DO SUL,73120.8984375,2583,3
CEARÁ,42342.9296875,13439,1
PIAUÍ,14614.19238281,4560,1
RIO GRANDE DO SUL,53460.91015625,8538,1
SÃO PAULO,613366,11924,3
GOIÁS,105659.59375,4882,2
MATO GROSSO,51094.03125,2996,2
RIO GRANDE DO SUL,50877.265625,5386,1
PARANÁ,326671.84375,5187,4
PARAÍBA,242950.71875,47682,1
ALAGOAS,16447.203125,4963,1
TOCANTINS,1582446.875,119637,2
PARANÁ,281340.8125,16103,2
ESPIRITO SANTO,90734.359375,12091,1
MARANHÃO,80207.625,29386,1
SÃO PAULO,28935768,810979,3
RIO GRANDE DO SUL,37787912,1436123,3
RIO GRANDE DO SUL,35365.5703125,2451,2
SANTA CATARINA,226588.625,10996,2
ALAGOAS,42036.96875,12215,1
RIO GRANDE DO SUL,86526.078125,4796,2
RIO GRANDE DO SUL,95305.984375,6232,2
MINAS GERAIS,52865.796875,12072,1
TOCANTINS,11322.53808594,1273,1
SÃO PAULO,191874.171875,7335,3
RIO GRANDE DO SUL,3302153,211663,2
PERNAMBUCO,121956.0546875,34118,1
MINAS GERAIS,36886.0078125,6684,1
CEARÁ,33583.828125,9615,1
MINAS GERAIS,29055.21289062,5132,1
PARAÍBA,49805.71875,10605,1
SÃO PAULO,785465.8125,36211,2
RIO GRANDE DO SUL,16444476,332056,3
BAHIA,264766.96875,46855,1
CEARÁ,71450.75,18246,1
MINAS GERAIS,482077.875,36455,2
SÃO PAULO,1783702.875,65928,3
SÃO PAULO,241701.421875,22740,2
PARAÍBA,44775.48046875,12804,1
MARANHÃO,30778.828125,11693,1
MINAS GERAIS,94414.4609375,6605,2
PIAUÍ,46700.63671875,10904,1
CEARÁ,105865.5078125,30524,1
MINAS GERAIS,27821.90820312,6641,1
PARANÁ,77596.3203125,9035,1
RIO GRANDE DO SUL,26717.39453125,3128,1
MINAS GERAIS,49623.1796875,4070,2
MARANHÃO,63276.82421875,18494,1
SANTA CATARINA,4193678.75,201746,2
MINAS GERAIS,90277.6328125,4735,2
PARANÁ,160973.765625,17411,1
SÃO PAULO,37543.671875,4751,1
PARÁ,77226.921875,20421,1
PARÁ,76088.96875,26445,1
SANTA CATARINA,62822.234375,5087,2
BAHIA,37422.05078125,11092,1
BAHIA,16689.80078125,3951,1
SANTA CATARINA,445473.53125,57793,1
SANTA CATARINA,949617.0625,57103,2
BAHIA,59006.53125,14734,1
PARANÁ,594210.5625,42933,2
RIO GRANDE DO SUL,70817.5625,7246,2
PERNAMBUCO,698774.375,74028,1
SÃO PAULO,14709603,673396,2
BAHIA,37949.63671875,11048,1
MINAS GERAIS,14989.85351562,2241,1
MINAS GERAIS,28968.6796875,3950,1
PERNAMBUCO,61301.90234375,14194,1
MINAS GERAIS,18352.87109375,2713,1
PARANÁ,43355.59765625,5129,1
BAHIA,183714.421875,41758,1
MINAS GERAIS,84267.8125,15162,1
CEARÁ,188837.171875,56673,1
RIO DE JANEIRO,675776.875,78819,1
BAHIA,130894.5703125,29727,1
PARANÁ,201923.65625,19270,2
BAHIA,39229.1484375,12824,1
PERNAMBUCO,189960.03125,30185,1
SERGIPE,144145.140625,24747,1
PARAÍBA,84892.03125,20017,1
MINAS GERAIS,240981.671875,27964,1
PIAUÍ,13861.8671875,4465,1
MINAS GERAIS,238754.328125,20228,2
SÃO PAULO,207561.140625,16274,2
MINAS GERAIS,260494.40625,25938,2
BAHIA,47592.953125,10018,1
SÃO PAULO,2186612,109948,2
MINAS GERAIS,80380.046875,11351,1
RIO GRANDE DO NORTE,25894.69335938,6023,1
TOCANTINS,57763.875,5299,2
RIO GRANDE DO NORTE,13867.89453125,2952,1
SÃO PAULO,24909.50976562,2338,2
PARANÁ,33636.26953125,2853,2
MATO GROSSO,9816819,550562,2
PARANÁ,98085.515625,9257,2
PARÁ,286106.03125,55033,1
SÃO PAULO,5187325,78222,4
GOIÁS,746357.25,96284,1
MINAS GERAIS,97728.765625,22782,1
RIO GRANDE DO SUL,45900.67578125,2940,2
BAHIA,61809.6015625,18470,1
PARANÁ,255210.21875,29441,1
PIAUÍ,13689.92480469,4965,1
BAHIA,31970.6171875,8822,1
CEARÁ,307797,77552,1
PARÁ,58426.12890625,18417,1
SANTA CATARINA,94318.484375,9144,2
MARANHÃO,78903.5625,25063,1
MINAS GERAIS,101209.515625,6954,2
RIO GRANDE DO NORTE,263993.9375,35768,1
ESPIRITO SANTO,390701.78125,23874,2
RIO GRANDE DO SUL,61648.3125,6602,1
CEARÁ,76052.234375,18388,1
BAHIA,52209.5390625,12589,1
PARÁ,178405.46875,15629,2
PIAUÍ,16210.26757812,5376,1
BAHIA,98000.1328125,23774,1
MARANHÃO,59626.1484375,21204,1
BAHIA,114653.1328125,20490,1
SÃO PAULO,32480.0859375,2611,2
MARANHÃO,61557.19140625,22856,1
AMAZONAS,69487.6171875,15780,1
SÃO PAULO,150708.21875,13761,2
RONDÔNIA,179099.90625,17569,2
PARAÍBA,18423.50976562,4087,1
MINAS GERAIS,28000.19335938,6426,1
SÃO PAULO,7879047.5,419632,2
TOCANTINS,17363.93945312,3428,1
MARANHÃO,105918.0234375,39312,1
PIAUÍ,95474.390625,26499,1
RIO GRANDE DO SUL,33232.0625,3138,2
GOIÁS,21386530,1281975,2
MINAS GERAIS,561480.75,33231,2
PARANÁ,479121.625,87285,1
SANTA CATARINA,119515.8359375,10335,2
PARANÁ,82812.2734375,5751,2
RONDÔNIA,908886.375,78675,2
MARANHÃO,72605.1171875,22938,1
PARANÁ,31834.11132812,3700,1
MATO GROSSO DO SUL,224436.546875,23726,1
SANTA CATARINA,165294.203125,10520,2
PARAÍBA,12804.03125,3089,1
BAHIA,73857.125,17858,1
MINAS GERAIS,20845.33789062,4132,1
RIO GRANDE DO SUL,63663.21875,6991,1
MATO GROSSO,638522.3125,33246,2
RIO GRANDE DO NORTE,351046.15625,28157,2
RIO GRANDE DO NORTE,99473.234375,12835,1
MINAS GERAIS,25044.66210938,4780,1
PARANÁ,111186.0703125,10822,2
TOCANTINS,88066.859375,15469,1
MINAS GERAIS,25577.03710938,2981,1
RIO GRANDE DO NORTE,15206.66503906,2745,1
PARAÍBA,41455.34375,11320,1
RIO GRANDE DO SUL,87776.3203125,5424,2
RIO GRANDE DO NORTE,48704.7890625,11671,1
SÃO PAULO,1017558.25,53281,2
SÃO PAULO,45077.65625,4472,2
ESPIRITO SANTO,232603.6875,20028,2
GOIÁS,29883.86914062,4702,1
MINAS GERAIS,90365.3359375,9747,1
SÃO PAULO,101315.828125,5447,2
RIO GRANDE DO SUL,30261.02734375,2465,2
CEARÁ,25142.140625,6654,1
RIO GRANDE DO SUL,34176.51953125,3100,2
RIO GRANDE DO SUL,25569.375,2098,2
SÃO PAULO,711619.875,53148,2
MINAS GERAIS,25999.40429688,4114,1
PARANÁ,40686.328125,4272,1
MATO GROSSO,192724.125,10760,2
PARAÍBA,16201.1015625,3622,1
TOCANTINS,11962.875,1999,1
MINAS GERAIS,189470.96875,17587,2
PERNAMBUCO,155675.359375,40924,1
PARANÁ,1341769.875,112548,2
ALAGOAS,73942.796875,19530,1
RIO GRANDE DO SUL,91603.8125,4887,2
AMAZONAS,136269.859375,31774,1
MINAS GERAIS,91459.2890625,7582,2
BAHIA,91810.5546875,20117,1
MINAS GERAIS,97284.4921875,10557,1
MINAS GERAIS,58472.24609375,8820,1
SANTA CATARINA,21709.40429688,1768,2
PARAÍBA,8294.52832031,1488,1
PARÁ,51835.18359375,12984,1
CEARÁ,28813.19335938,7518,1
MARANHÃO,37902.859375,13890,1
SERGIPE,77082.734375,7946,2
SÃO PAULO,35500.32421875,3826,1
TOCANTINS,124657,21826,1
CEARÁ,25433.55859375,7891,1
PIAUÍ,32028.62890625,9826,1
MINAS GERAIS,37351.96875,7050,1
SÃO PAULO,24232.84960938,2032,2
RIO GRANDE DO SUL,29192.28320312,2979,2
RIO GRANDE DO NORTE,63727.42578125,9627,1
ESPIRITO SANTO,87713.796875,10667,1
SANTA CATARINA,209834.78125,10585,2
MARANHÃO,149946.109375,49348,1
CEARÁ,27905.3046875,7955,1
BAHIA,36504.28125,11612,1
GOIÁS,22326.18945312,3510,1
ALAGOAS,106579.515625,20181,1
BAHIA,54676.39453125,17583,1
MINAS GERAIS,24727.68554688,2259,2
RIO GRANDE DO SUL,108110.9609375,3873,3
CEARÁ,37922.73046875,12737,1
BAHIA,100712.015625,20830,1
RIO GRANDE DO SUL,74690.0625,3258,3
MINAS GERAIS,684352.375,85472,1
PERNAMBUCO,69621.140625,16686,1
MATO GROSSO DO SUL,106112.8203125,8697,2
MATO GROSSO,168539.03125,11148,2
RIO GRANDE DO SUL,67334.1640625,6477,2
MINAS GERAIS,114948.84375,18855,1
SANTA CATARINA,579022.8125,18996,3
RONDÔNIA,204591.984375,16491,2
RIO GRANDE DO SUL,531785.875,19131,3
SÃO PAULO,89145.484375,9278,1
RIO GRANDE DO SUL,60428.63671875,3094,2
RIO GRANDE DO NORTE,130860.6796875,24347,1
MATO GROSSO DO SUL,217905.640625,24174,1
PARAÍBA,28879.02539062,7330,1
BAHIA,67164.5625,22521,1
ESPIRITO SANTO,1724502.25,111365,2
PARAÍBA,33224.39453125,7606,1
SÃO PAULO,157686.28125,12388,2
PARANÁ,355735.15625,35052,2
PIAUÍ,24428.75195312,6019,1
MATO GROSSO,509606.8125,11570,3
SÃO PAULO,1693931.125,16427,4
PARAÍBA,32832.8359375,6925,1
SANTA CATARINA,197513.6875,16710,2
MARANHÃO,117008.640625,33506,1
GOIÁS,112414.140625,6794,2
MATO GROSSO,56733.08984375,4113,2
RIO GRANDE DO NORTE,75420.5234375,14347,1
MINAS GERAIS,117934.671875,25060,1
SÃO PAULO,72653.828125,5920,2
PERNAMBUCO,31242.37304688,6955,1
BAHIA,77169.4921875,22061,1
MINAS GERAIS,45021.6328125,11337,1
GOIÁS,78616.3671875,5949,2
RIO GRANDE DO SUL,100045.2109375,3314,3
PARAÍBA,16183.31152344,4127,1
BAHIA,52940.23828125,15652,1
PARANÁ,95654.953125,15217,1
GOIÁS,89775.4375,5359,2
MATO GROSSO DO SUL,227898.8125,15527,2
RIO GRANDE DO SUL,150622.046875,12016,2
SANTA CATARINA,53939.671875,4503,2
PIAUÍ,20731.03125,6321,1
ALAGOAS,463296.53125,53369,1
PARANÁ,141398.46875,20764,1
ALAGOAS,47015.875,12449,1
MATO GROSSO,95578.59375,4218,3
SÃO PAULO,83582.3515625,5014,2
PIAUÍ,9299.80566406,2643,1
MARANHÃO,35339.9140625,12091,1
MINAS GERAIS,187388.671875,21612,1
SÃO PAULO,53553.72265625,6382,1
SÃO PAULO,1529719.875,80922,2
RIO GRANDE DO SUL,60363.6640625,3383,2
RIO GRANDE DO SUL,3224373.75,118089,3
SANTA CATARINA,132319.421875,6520,2
SANTA CATARINA,140022.296875,5757,3
MATO GROSSO DO SUL,215205.796875,21067,2
PARAÍBA,14053.37597656,4046,1
MINAS GERAIS,43540.2421875,6074,1
BAHIA,170321.296875,12003,2
RIO GRANDE DO SUL,40484.5625,3593,2
MARANHÃO,473406.96875,139473,1
MINAS GERAIS,78357.734375,10040,1
PARANÁ,47812.11328125,4804,2
RIO GRANDE DO SUL,92290.2734375,6448,2
MINAS GERAIS,26304.3515625,3380,1
SÃO PAULO,804188.75,59297,2
SANTA CATARINA,413353.3125,14228,3
SÃO PAULO,69275.9609375,7991,1
SÃO PAULO,7779836.5,84577,4
RIO GRANDE DO SUL,27385.796875,2972,1
SÃO PAULO,56048.78125,4154,2
MINAS GERAIS,1915200.25,111095,2
MATO GROSSO,102114.3125,9172,2
SÃO PAULO,1470158.625,104542,2
BAHIA,96287.0234375,24004,1
PIAUÍ,9352.91113281,2418,1
SÃO PAULO,218303.9375,19976,2
MATO GROSSO,370495.65625,16461,3
PARANÁ,51527.42578125,4640,2
RIO GRANDE DO SUL,199885.421875,17216,2
RIO DE JANEIRO,930198,28653,3
ALAGOAS,59232.4921875,19989,1
PARANÁ,66815.1640625,7750,1
TOCANTINS,16428.97851562,2185,1
PERNAMBUCO,26129.82421875,8214,1
TOCANTINS,46223.703125,6818,1
MATO GROSSO,283639.59375,32162,1
ALAGOAS,358377.4375,72564,1
PARANÁ,116895.6953125,12828,1
RIO GRANDE DO SUL,72357.953125,3929,2
MINAS GERAIS,24059.359375,2524,1
MARANHÃO,19039.73632812,4442,1
BAHIA,40729.69921875,13857,1
BAHIA,65119.53125,16739,1
MINAS GERAIS,510184.3125,68527,1
SÃO PAULO,92248.1015625,5541,2
PIAUÍ,16599.84765625,4559,1
SANTA CATARINA,7678830,299416,3
MINAS GERAIS,255803.46875,22622,2
MATO GROSSO DO SUL,407916.5,32933,2
SANTA CATARINA,201837.359375,13380,2
PIAUÍ,112566.0234375,25406,1
PARANÁ,49661.875,6704,1
PARANÁ,52802.35546875,7843,1
AMAZONAS,41735.99609375,8673,1
RIO GRANDE DO SUL,59011.0859375,5283,2
AMAPÁ,99332.9140625,11519,1
MATO GROSSO,1200944.375,26874,3
PARANÁ,98934.5390625,5944,2
PARANÁ,289793.3125,31641,1
CEARÁ,51840.0859375,13537,1
RIO GRANDE DO SUL,96947.640625,11840,1
PARÁ,158801.546875,55512,1
PARANÁ,2426511.75,116774,2
GOIÁS,74443.796875,7240,2
SÃO PAULO,250581.265625,19168,2
SANTA CATARINA,8287890,408161,2
MINAS GERAIS,79914.15625,2164,3
MINAS GERAIS,1980481.75,92927,2
SÃO PAULO,824090.75,87338,1
ALAGOAS,66246.3359375,16919,1
MINAS GERAIS,1310654.375,78125,2
BAHIA,66926.8984375,20311,1
PARANÁ,187602.453125,11187,2
PIAUÍ,28607.55859375,7477,1
SÃO PAULO,152630.0625,10082,2
MINAS GERAIS,16165950,634345,3
PIAUÍ,11285.45605469,4242,1
PIAUÍ,21723.94335938,7970,1
MINAS GERAIS,115186.890625,12061,1
SÃO PAULO,64996.13671875,4391,2
MARANHÃO,374489.0625,16594,3
MARANHÃO,185139.734375,46265,1
SÃO PAULO,258140.546875,5675,3
BAHIA,83166.9765625,20448,1
SÃO PAULO,219832.53125,14300,2
TOCANTINS,21279.5,4666,1
SÃO PAULO,291595.78125,17752,2
TOCANTINS,28673.05273438,6971,1
PARAÍBA,16776.06835938,4045,1
BAHIA,45636.62109375,14203,1
MINAS GERAIS,20092.6015625,4201,1
RIO GRANDE DO NORTE,34102.24609375,7428,1
GOIÁS,33332.49609375,7331,1
PARANÁ,409720.78125,13870,3
SANTA CATARINA,140995.3125,10170,2
SÃO PAULO,211197.859375,12536,2
MINAS GERAIS,223230.46875,7727,3
PARAÍBA,116892.609375,25766,1
PERNAMBUCO,50004.21484375,12273,1
PARANÁ,51161.984375,6800,1
SANTA CATARINA,186467.6875,7400,3
PARANÁ,48806.203125,3380,2
AMAZONAS,61709.34765625,15915,1
MINAS GERAIS,47253.37890625,5312,1
BAHIA,42641.50390625,9656,1
SANTA CATARINA,207784.828125,9506,2
MATO GROSSO DO SUL,53627.80859375,3443,2
RIO GRANDE DO SUL,28652.81054688,1978,2
PERNAMBUCO,54845.26953125,14452,1
RONDÔNIA,119746.1875,13661,1
MINAS GERAIS,38242.24609375,9423,1
MARANHÃO,25270.69335938,6451,1
PARANÁ,30541.72265625,3879,1
AMAZONAS,36895.9296875,8281,1
SERGIPE,16125.22753906,3007,1
BAHIA,109143.96875,20720,1
MINAS GERAIS,85793.3203125,11478,1
BAHIA,73053.015625,17879,1
MINAS GERAIS,1154886.25,130517,1
PARANÁ,571634.125,31191,2
RIO GRANDE DO NORTE,158790.6875,35095,1
PARAÍBA,25826.90234375,5544,1
MINAS GERAIS,54842.71875,5193,2
BAHIA,48446.7578125,7346,1
CEARÁ,90544.5234375,25591,1
PARANÁ,200941.53125,16271,2
MINAS GERAIS,134253.15625,23386,1
ESPIRITO SANTO,956261.75,101613,1
SÃO PAULO,144300.53125,6874,2
MARANHÃO,152434.625,44272,1
MINAS GERAIS,22330.44921875,4545,1
RIO GRANDE DO SUL,110058.625,8659,2
GOIÁS,19991.43359375,2678,1
RIO GRANDE DO SUL,364778.5,28244,2
RIO GRANDE DO NORTE,16099.59863281,3612,1
