UF,PIB,Pop_est_2009,classe
PARAÍBA,9611.00976562,1588,1
PARAÍBA,29955.484375,8067,1
BAHIA,76828.921875,18408,1
RIO GRANDE DO SUL,389289.53125,21828,2
MARANHÃO,23451.05078125,7144,1
MINAS GERAIS,34538.80859375,5319,1
BAHIA,58842.01171875,17698,1
MARANHÃO,48157.7734375,17916,1
RIO GRANDE DO SUL,201810.28125,8654,3
PARANÁ,552378.875,41188,2
RIO DE JANEIRO,88212.8359375,8852,2
SÃO PAULO,71262.4765625,5420,2
SÃO PAULO,1147377.5,96125,2
BAHIA,285453.96875,26016,2
SANTA CATARINA,86345.3984375,6237,2
PARAÍBA,71412.4453125,15854,1
RIO GRANDE DO SUL,30150.00390625,2188,2
BAHIA,109799.9453125,28602,1
SERGIPE,86116.2890625,16733,1
RONDÔNIA,84785.7265625,8235,2
MINAS GERAIS,81616.9921875,16254,1
PIAUÍ,79448.5,27220,1
PARANÁ,89769.359375,5522,2
PERNAMBUCO,48624.8359375,12244,1
RIO GRANDE DO SUL,52123.5,5008,2
RIO GRANDE DO SUL,142891.265625,11131,2
MINAS GERAIS,19510.05859375,3676,1
RORAIMA,93442.5703125,9220,2
MINAS GERAIS,599764.125,74171,1
MATO GROSSO DO SUL,258011.5625,13334,2
RIO GRANDE DO SUL,88814.828125,3802,3
PERNAMBUCO,96163.34375,16498,1
MINAS GERAIS,69659.015625,12561,1
PARANÁ,137302.3125,7947,2
SÃO PAULO,27413.52148438,2956,1
RIO GRANDE DO SUL,60827.06640625,5240,2
MARANHÃO,44285.91796875,10688,1
RIO GRANDE DO NORTE,31648.85742188,6652,1
SÃO PAULO,121381.28125,9463,2
PARANÁ,193306.609375,18041,2
PIAUÍ,14581.94140625,4562,1
MINAS GERAIS,83806.1875,11871,1
PARANÁ,33611.8046875,2926,2
ESPIRITO SANTO,11531826,404688,3
SÃO PAULO,36372.3046875,2191,2
SÃO PAULO,73761.8125,5791,2
RIO GRANDE DO NORTE,8834.24511719,1856,1
RIO GRANDE DO NORTE,12757.65820312,2994,1
MINAS GERAIS,23447.10742188,5140,1
BAHIA,172730.890625,54713,1
SÃO PAULO,393278.46875,41159,1
TOCANTINS,39691.9453125,8454,1
GOIÁS,145802.765625,7832,2
MARANHÃO,122207.015625,31144,1
RONDÔNIA,1040960.75,85541,2
PARAÍBA,32620.47851562,10091,1
PARANÁ,1097076.75,68071,2
ALAGOAS,52134.53515625,12039,1
PARAÍBA,221022.5625,30855,1
PARAÍBA,17580.734375,4118,1
GOIÁS,120889.484375,4790,3
RIO GRANDE DO SUL,136556.0625,7319,2
ESPIRITO SANTO,123706.6484375,18497,1
RIO DE JANEIRO,203775.765625,12481,2
PARANÁ,84376.4140625,6561,2
PARAÍBA,65173.609375,14963,1
ALAGOAS,182361.03125,47209,1
SANTA CATARINA,370818,16128,3
RIO GRANDE DO SUL,67336.796875,2843,3
MINAS GERAIS,22031.84960938,5473,1
PIAUÍ,15476.57128906,4689,1
SÃO PAULO,1338844.125,88995,2
SÃO PAULO,113681.1171875,10092,2
MARANHÃO,64784.91796875,21508,1
PARANÁ,477660.84375,31976,2
PARAÍBA,24164.58789062,6029,1
ALAGOAS,59784.6875,14261,1
SÃO PAULO,31190.76757812,2630,2
SÃO PAULO,771585.3125,37570,2
PERNAMBUCO,53805.15234375,14782,1
SERGIPE,153896,12870,2
BAHIA,63455.30859375,14895,1
RIO GRANDE DO NORTE,21696.81640625,3923,1
ESPIRITO SANTO,47128.93359375,6172,1
SÃO PAULO,37936.8671875,3974,1
PIAUÍ,20200.31054688,5898,1
MINAS GERAIS,150295.234375,24952,1
SANTA CATARINA,40582.9296875,1857,2
BAHIA,97321.03125,12209,1
BAHIA,69316.4296875,17974,1
GOIÁS,234588.984375,15201,2
CEARÁ,56133.1015625,15627,1
PARAÍBA,21413.59960938,5470,1
MINAS GERAIS,17296.31054688,4479,1
MINAS GERAIS,12662.79980469,2132,1
PERNAMBUCO,2283346.25,281851,1
MINAS GERAIS,72658.75,8684,1
BAHIA,60239.99609375,14195,1
MATO GROSSO,132122.640625,6195,2
MINAS GERAIS,61315.7109375,7692,1
SÃO PAULO,225050.078125,21222,2
RIO GRANDE DO NORTE,13750.82910156,3165,1
PARANÁ,130212.734375,13347,2
SÃO PAULO,45986.609375,4917,1
PIAUÍ,60257.28125,18190,1
MARANHÃO,27508.0546875,7489,1
RIO DE JANEIRO,1224457.75,139378,1
TOCANTINS,29328.91796875,1741,2
BAHIA,387271.40625,57098,1
